pair_id,speaker,word,label_a,label_b,file_a,file_b
OAF_back_neutral_happy,OAF,back,neutral,happy,OAF_back_neutral.wav,OAF_back_happy.wav
OAF_back_neutral_sad,OAF,back,neutral,sad,OAF_back_neutral.wav,OAF_back_sad.wav
OAF_back_neutral_angry,OAF,back,neutral,angry,OAF_back_neutral.wav,OAF_back_angry.wav
OAF_back_happy_sad,OAF,back,happy,sad,OAF_back_happy.wav,OAF_back_sad.wav
OAF_back_happy_angry,OAF,back,happy,angry,OAF_back_happy.wav,OAF_back_angry.wav
OAF_back_sad_angry,OAF,back,sad,angry,OAF_back_sad.wav,OAF_back_angry.wav
OAF_bar_neutral_happy,OAF,bar,neutral,happy,OAF_bar_neutral.wav,OAF_bar_happy.wav
OAF_bar_neutral_sad,OAF,bar,neutral,sad,OAF_bar_neutral.wav,OAF_bar_sad.wav
OAF_bar_neutral_angry,OAF,bar,neutral,angry,OAF_bar_neutral.wav,OAF_bar_angry.wav
OAF_bar_happy_sad,OAF,bar,happy,sad,OAF_bar_happy.wav,OAF_bar_sad.wav
OAF_bar_happy_angry,OAF,bar,happy,angry,OAF_bar_happy.wav,OAF_bar_angry.wav
OAF_bar_sad_angry,OAF,bar,sad,angry,OAF_bar_sad.wav,OAF_bar_angry.wav
OAF_base_neutral_happy,OAF,base,neutral,happy,OAF_base_neutral.wav,OAF_base_happy.wav
OAF_base_neutral_sad,OAF,base,neutral,sad,OAF_base_neutral.wav,OAF_base_sad.wav
OAF_base_neutral_angry,OAF,base,neutral,angry,OAF_base_neutral.wav,OAF_base_angry.wav
OAF_base_happy_sad,OAF,base,happy,sad,OAF_base_happy.wav,OAF_base_sad.wav
OAF_base_happy_angry,OAF,base,happy,angry,OAF_base_happy.wav,OAF_base_angry.wav
OAF_base_sad_angry,OAF,base,sad,angry,OAF_base_sad.wav,OAF_base_angry.wav
OAF_bath_neutral_happy,OAF,bath,neutral,happy,OAF_bath_neutral.wav,OAF_bath_happy.wav
OAF_bath_neutral_sad,OAF,bath,neutral,sad,OAF_bath_neutral.wav,OAF_bath_sad.wav
OAF_bath_neutral_angry,OAF,bath,neutral,angry,OAF_bath_neutral.wav,OAF_bath_angry.wav
OAF_bath_happy_sad,OAF,bath,happy,sad,OAF_bath_happy.wav,OAF_bath_sad.wav
OAF_bath_happy_angry,OAF,bath,happy,angry,OAF_bath_happy.wav,OAF_bath_angry.wav
OAF_bath_sad_angry,OAF,bath,sad,angry,OAF_bath_sad.wav,OAF_bath_angry.wav
OAF_bean_neutral_happy,OAF,bean,neutral,happy,OAF_bean_neutral.wav,OAF_bean_happy.wav
OAF_bean_neutral_sad,OAF,bean,neutral,sad,OAF_bean_neutral.wav,OAF_bean_sad.wav
OAF_bean_neutral_angry,OAF,bean,neutral,angry,OAF_bean_neutral.wav,OAF_bean_angry.wav
OAF_bean_happy_sad,OAF,bean,happy,sad,OAF_bean_happy.wav,OAF_bean_sad.wav
OAF_bean_happy_angry,OAF,bean,happy,angry,OAF_bean_happy.wav,OAF_bean_angry.wav
OAF_bean_sad_angry,OAF,bean,sad,angry,OAF_bean_sad.wav,OAF_bean_angry.wav
OAF_beg_neutral_happy,OAF,beg,neutral,happy,OAF_beg_neutral.wav,OAF_beg_happy.wav
OAF_beg_neutral_sad,OAF,beg,neutral,sad,OAF_beg_neutral.wav,OAF_beg_sad.wav
OAF_beg_neutral_angry,OAF,beg,neutral,angry,OAF_beg_neutral.wav,OAF_beg_angry.wav
OAF_beg_happy_sad,OAF,beg,happy,sad,OAF_beg_happy.wav,OAF_beg_sad.wav
OAF_beg_happy_angry,OAF,beg,happy,angry,OAF_beg_happy.wav,OAF_beg_angry.wav
OAF_beg_sad_angry,OAF,beg,sad,angry,OAF_beg_sad.wav,OAF_beg_angry.wav
OAF_bite_neutral_happy,OAF,bite,neutral,happy,OA_bite_neutral.wav,OAF_bite_happy.wav
OAF_bite_neutral_sad,OAF,bite,neutral,sad,OA_bite_neutral.wav,OAF_bite_sad.wav
OAF_bite_neutral_angry,OAF,bite,neutral,angry,OA_bite_neutral.wav,OAF_bite_angry.wav
OAF_bite_happy_sad,OAF,bite,happy,sad,OAF_bite_happy.wav,OAF_bite_sad.wav
OAF_bite_happy_angry,OAF,bite,happy,angry,OAF_bite_happy.wav,OAF_bite_angry.wav
OAF_bite_sad_angry,OAF,bite,sad,angry,OAF_bite_sad.wav,OAF_bite_angry.wav
OAF_boat_neutral_happy,OAF,boat,neutral,happy,OAF_boat_neutral.wav,OAF_boat_happy.wav
OAF_boat_neutral_sad,OAF,boat,neutral,sad,OAF_boat_neutral.wav,OAF_boat_sad.wav
OAF_boat_neutral_angry,OAF,boat,neutral,angry,OAF_boat_neutral.wav,OAF_boat_angry.wav
OAF_boat_happy_sad,OAF,boat,happy,sad,OAF_boat_happy.wav,OAF_boat_sad.wav
OAF_boat_happy_angry,OAF,boat,happy,angry,OAF_boat_happy.wav,OAF_boat_angry.wav
OAF_boat_sad_angry,OAF,boat,sad,angry,OAF_boat_sad.wav,OAF_boat_angry.wav
OAF_bone_neutral_happy,OAF,bone,neutral,happy,OAF_bone_neutral.wav,OAF_bone_happy.wav
OAF_bone_neutral_sad,OAF,bone,neutral,sad,OAF_bone_neutral.wav,OAF_bone_sad.wav
OAF_bone_neutral_angry,OAF,bone,neutral,angry,OAF_bone_neutral.wav,OAF_bone_angry.wav
OAF_bone_happy_sad,OAF,bone,happy,sad,OAF_bone_happy.wav,OAF_bone_sad.wav
OAF_bone_happy_angry,OAF,bone,happy,angry,OAF_bone_happy.wav,OAF_bone_angry.wav
OAF_bone_sad_angry,OAF,bone,sad,angry,OAF_bone_sad.wav,OAF_bone_angry.wav
OAF_book_neutral_happy,OAF,book,neutral,happy,OAF_book_neutral.wav,OAF_book_happy.wav
OAF_book_neutral_sad,OAF,book,neutral,sad,OAF_book_neutral.wav,OAF_book_sad.wav
OAF_book_neutral_angry,OAF,book,neutral,angry,OAF_book_neutral.wav,OAF_book_angry.wav
OAF_book_happy_sad,OAF,book,happy,sad,OAF_book_happy.wav,OAF_book_sad.wav
OAF_book_happy_angry,OAF,book,happy,angry,OAF_book_happy.wav,OAF_book_angry.wav
OAF_book_sad_angry,OAF,book,sad,angry,OAF_book_sad.wav,OAF_book_angry.wav
OAF_bought_neutral_happy,OAF,bought,neutral,happy,OAF_bought_neutral.wav,OAF_bought_happy.wav
OAF_bought_neutral_sad,OAF,bought,neutral,sad,OAF_bought_neutral.wav,OAF_bought_sad.wav
OAF_bought_neutral_angry,OAF,bought,neutral,angry,OAF_bought_neutral.wav,OAF_bought_angry.wav
OAF_bought_happy_sad,OAF,bought,happy,sad,OAF_bought_happy.wav,OAF_bought_sad.wav
OAF_bought_happy_angry,OAF,bought,happy,angry,OAF_bought_happy.wav,OAF_bought_angry.wav
OAF_bought_sad_angry,OAF,bought,sad,angry,OAF_bought_sad.wav,OAF_bought_angry.wav
OAF_burn_neutral_happy,OAF,burn,neutral,happy,OAF_burn_neutral.wav,OAF_burn_happy.wav
OAF_burn_neutral_sad,OAF,burn,neutral,sad,OAF_burn_neutral.wav,OAF_burn_sad.wav
OAF_burn_neutral_angry,OAF,burn,neutral,angry,OAF_burn_neutral.wav,OAF_burn_angry.wav
OAF_burn_happy_sad,OAF,burn,happy,sad,OAF_burn_happy.wav,OAF_burn_sad.wav
OAF_burn_happy_angry,OAF,burn,happy,angry,OAF_burn_happy.wav,OAF_burn_angry.wav
OAF_burn_sad_angry,OAF,burn,sad,angry,OAF_burn_sad.wav,OAF_burn_angry.wav
OAF_cab_neutral_happy,OAF,cab,neutral,happy,OAF_cab_neutral.wav,OAF_cab_happy.wav
OAF_cab_neutral_sad,OAF,cab,neutral,sad,OAF_cab_neutral.wav,OAF_cab_sad.wav
OAF_cab_neutral_angry,OAF,cab,neutral,angry,OAF_cab_neutral.wav,OAF_cab_angry.wav
OAF_cab_happy_sad,OAF,cab,happy,sad,OAF_cab_happy.wav,OAF_cab_sad.wav
OAF_cab_happy_angry,OAF,cab,happy,angry,OAF_cab_happy.wav,OAF_cab_angry.wav
OAF_cab_sad_angry,OAF,cab,sad,angry,OAF_cab_sad.wav,OAF_cab_angry.wav
OAF_calm_neutral_happy,OAF,calm,neutral,happy,OAF_calm_neutral.wav,OAF_calm_happy.wav
OAF_calm_neutral_sad,OAF,calm,neutral,sad,OAF_calm_neutral.wav,OAF_calm_sad.wav
OAF_calm_neutral_angry,OAF,calm,neutral,angry,OAF_calm_neutral.wav,OAF_calm_angry.wav
OAF_calm_happy_sad,OAF,calm,happy,sad,OAF_calm_happy.wav,OAF_calm_sad.wav
OAF_calm_happy_angry,OAF,calm,happy,angry,OAF_calm_happy.wav,OAF_calm_angry.wav
OAF_calm_sad_angry,OAF,calm,sad,angry,OAF_calm_sad.wav,OAF_calm_angry.wav
OAF_came_neutral_happy,OAF,came,neutral,happy,OAF_came_neutral.wav,OAF_came_happy.wav
OAF_came_neutral_sad,OAF,came,neutral,sad,OAF_came_neutral.wav,OAF_came_sad.wav
OAF_came_neutral_angry,OAF,came,neutral,angry,OAF_came_neutral.wav,OAF_came_angry.wav
