method,actor,n_seeds,ser,aligned_ser,conflict_acoustic_follow,conflict_semantic_follow,conflict_margin
baseline,1,1,0.3958333333333333,0.375,0.4166666666666667,0.20833333333333334,0.8359375
baseline,2,1,0.5,0.5,0.5,0.16666666666666666,1.4895833333333333
baseline,3,1,0.625,0.625,0.625,0.125,2.0078125
baseline,4,1,0.6666666666666666,0.625,0.7083333333333334,0.08333333333333333,2.3463541666666665
baseline,5,1,0.4375,0.5,0.375,0.16666666666666666,0.765625
baseline,6,1,0.4791666666666667,0.5,0.4583333333333333,0.16666666666666666,1.796875
baseline,7,1,0.2708333333333333,0.25,0.2916666666666667,0.25,0.015625
baseline,8,1,0.375,0.375,0.375,0.25,1.0
baseline,9,1,0.3333333333333333,0.375,0.2916666666666667,0.20833333333333334,0.5651041666666666
baseline,10,1,0.22916666666666666,0.25,0.20833333333333334,0.2916666666666667,0.7109375
baseline,11,1,0.3125,0.375,0.25,0.20833333333333334,0.3984375
baseline,12,1,0.2916666666666667,0.25,0.3333333333333333,0.20833333333333334,1.3984375
baseline,13,1,0.4375,0.5,0.375,0.20833333333333334,0.9322916666666666
baseline,14,1,0.625,0.625,0.625,0.125,2.2161458333333335
baseline,15,1,0.4791666666666667,0.5,0.4583333333333333,0.125,1.5598958333333333
baseline,16,1,0.5,0.5,0.5,0.16666666666666666,2.0833333333333335
baseline,17,1,0.4791666666666667,0.5,0.4583333333333333,0.20833333333333334,0.4947916666666667
baseline,18,1,0.625,0.625,0.625,0.125,1.9557291666666667
baseline,19,1,0.4166666666666667,0.375,0.4583333333333333,0.20833333333333334,1.1432291666666667
baseline,20,1,0.3541666666666667,0.375,0.3333333333333333,0.20833333333333334,0.5885416666666666
baseline,21,1,0.5,0.5,0.5,0.16666666666666666,0.796875
baseline,22,1,0.3333333333333333,0.375,0.2916666666666667,0.25,1.4973958333333333
baseline,23,1,0.4166666666666667,0.5,0.3333333333333333,0.16666666666666666,0.2942708333333333
baseline,24,1,0.3958333333333333,0.375,0.4166666666666667,0.20833333333333334,1.0130208333333333
decision_adapter_layer25,1,3,0.7013888888888888,0.7083333333333334,0.6944444444444445,0.09722222222222221,2.9401041666666665
decision_adapter_layer25,2,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.05555555555555555,4.185763888888889
decision_adapter_layer25,3,3,0.9375,0.9166666666666666,0.9583333333333334,0.027777777777777776,4.846354166666667
decision_adapter_layer25,4,3,0.6597222222222222,0.6666666666666666,0.6527777777777778,0.12499999999999999,3.2916666666666665
decision_adapter_layer25,5,3,0.7152777777777777,0.6666666666666666,0.763888888888889,0.08333333333333333,3.3984375
decision_adapter_layer25,6,3,0.7847222222222222,0.7916666666666666,0.7777777777777778,0.08333333333333333,4.272569444444445
decision_adapter_layer25,7,3,0.6458333333333334,0.625,0.6666666666666666,0.1111111111111111,2.3081597222222223
decision_adapter_layer25,8,3,0.875,0.875,0.875,0.041666666666666664,4.102430555555556
decision_adapter_layer25,9,3,0.7916666666666666,0.8333333333333334,0.75,0.05555555555555555,3.320746527777778
decision_adapter_layer25,10,3,0.75,0.75,0.75,0.08333333333333333,2.860243055555556
decision_adapter_layer25,11,3,0.7569444444444443,0.7083333333333334,0.8055555555555557,0.041666666666666664,3.240451388888889
decision_adapter_layer25,12,3,0.8541666666666666,0.8333333333333334,0.875,0.041666666666666664,4.061631944444444
