fold,method,seed,best_epoch,seconds,n,ser,aligned_ser,conflict_acoustic_follow,conflict_semantic_follow,conflict_margin
1,baseline,0,0,0.0,192,0.546875,0.53125,0.5625,0.14583333333333334,1.669921875
2,baseline,0,0,0.0,192,0.390625,0.40625,0.375,0.20833333333333334,0.89453125
3,baseline,0,0,0.0,192,0.2916666666666667,0.3125,0.2708333333333333,0.22916666666666666,0.7682291666666666
4,baseline,0,0,0.0,192,0.5104166666666666,0.53125,0.4895833333333333,0.15625,1.6979166666666667
5,baseline,0,0,0.0,192,0.46875,0.46875,0.46875,0.1875,1.0455729166666667
6,baseline,0,0,0.0,192,0.4114583333333333,0.4375,0.3854166666666667,0.19791666666666666,0.900390625
1,decision_adapter_layer25,20260903,2,133.4378855228424,192,0.6979166666666666,0.6875,0.7083333333333334,0.10416666666666667,3.8639322916666665
1,decision_adapter_layer25,20260904,4,133.5738241672516,192,0.8072916666666666,0.8125,0.8020833333333334,0.07291666666666667,3.947265625
1,decision_adapter_layer25,20260905,2,132.4657735824585,192,0.84375,0.84375,0.84375,0.052083333333333336,3.63671875
2,decision_adapter_layer25,20260903,4,135.0654797554016,192,0.8020833333333334,0.78125,0.8229166666666666,0.052083333333333336,3.7884114583333335
2,decision_adapter_layer25,20260904,4,137.22346448898315,192,0.7604166666666666,0.75,0.7708333333333334,0.08333333333333333,3.421875
2,decision_adapter_layer25,20260905,3,136.07975220680237,192,0.703125,0.6875,0.71875,0.10416666666666667,3.3509114583333335
3,decision_adapter_layer25,20260903,1,137.82374334335327,192,0.765625,0.75,0.78125,0.0625,3.509765625
3,decision_adapter_layer25,20260904,3,134.5302698612213,192,0.7916666666666666,0.78125,0.8020833333333334,0.041666666666666664,3.7490234375
3,decision_adapter_layer25,20260905,1,136.94657182693481,192,0.8072916666666666,0.8125,0.8020833333333334,0.0625,2.853515625
4,decision_adapter_layer25,20260903,4,135.71795511245728,192,0.75,0.75,0.75,0.07291666666666667,3.5498046875
4,decision_adapter_layer25,20260904,3,135.69611716270447,192,0.6770833333333334,0.6875,0.6666666666666666,0.10416666666666667,3.619140625
4,decision_adapter_layer25,20260905,1,134.89552927017212,192,0.7239583333333334,0.71875,0.7291666666666666,0.07291666666666667,3.1360677083333335
5,decision_adapter_layer25,20260903,4,133.71452522277832,192,0.640625,0.65625,0.625,0.10416666666666667,2.6901041666666665
5,decision_adapter_layer25,20260904,2,135.8812611103058,192,0.6145833333333334,0.5625,0.6666666666666666,0.125,2.2942708333333335
5,decision_adapter_layer25,20260905,1,131.09236025810242,192,0.46875,0.46875,0.46875,0.1875,1.0455729166666667
6,decision_adapter_layer25,20260903,3,135.05708599090576,192,0.9270833333333334,0.9375,0.9166666666666666,0.041666666666666664,4.356119791666667
6,decision_adapter_layer25,20260904,2,135.4315207004547,192,0.9114583333333334,0.90625,0.9166666666666666,0.020833333333333332,4.090494791666667
6,decision_adapter_layer25,20260905,2,136.14689874649048,192,0.9010416666666666,0.90625,0.8958333333333334,0.020833333333333332,3.830078125
1,full_sequence_adapter_layer22,20260903,1,146.36331224441528,192,0.7916666666666666,0.8125,0.7708333333333334,0.08333333333333333,3.568359375
1,full_sequence_adapter_layer22,20260904,1,147.66833519935608,192,0.7864583333333334,0.78125,0.7916666666666666,0.0625,3.4778645833333335
