system,seed,subset,baseline_accuracy,system_accuracy,delta_accuracy,improved,harmed,mcnemar_exact_p
decision_adapter_layer25,20260903,all,0.5224358974358975,0.5697115384615384,0.04727564102564097,98,39,4.870586356414979e-07
decision_adapter_layer25,20260903,conflict,0.4358974358974359,0.49252136752136755,0.056623931623931645,84,31,8.028561762207067e-07
decision_adapter_layer25,20260903,aligned,0.782051282051282,0.8012820512820513,0.019230769230769273,14,8,0.28627872467041016
decision_adapter_layer25,20260904,all,0.5224358974358975,0.5849358974358975,0.0625,121,43,8.801743685614567e-10
decision_adapter_layer25,20260904,conflict,0.4358974358974359,0.5042735042735043,0.06837606837606836,101,37,4.7502649456813216e-08
decision_adapter_layer25,20260904,aligned,0.782051282051282,0.8269230769230769,0.04487179487179482,20,6,0.009355306625366211
decision_adapter_layer25,20260905,all,0.5224358974358975,0.561698717948718,0.039262820512820484,80,31,3.681632925244418e-06
decision_adapter_layer25,20260905,conflict,0.4358974358974359,0.4775641025641026,0.041666666666666685,64,25,4.321520924983878e-05
decision_adapter_layer25,20260905,aligned,0.782051282051282,0.8141025641025641,0.03205128205128205,16,6,0.052478790283203125
full_sequence_adapter_layer22,20260903,all,0.5224358974358975,0.5536858974358975,0.03125,93,54,0.0016313112527077717
full_sequence_adapter_layer22,20260903,conflict,0.4358974358974359,0.4668803418803419,0.030982905982905984,76,47,0.011275812317410648
full_sequence_adapter_layer22,20260903,aligned,0.782051282051282,0.8141025641025641,0.03205128205128205,17,7,0.06391465663909912
full_sequence_adapter_layer22,20260904,all,0.5224358974358975,0.563301282051282,0.04086538461538458,99,48,3.1407558212387724e-05
full_sequence_adapter_layer22,20260904,conflict,0.4358974358974359,0.48183760683760685,0.045940170940170943,84,41,0.0001501334225702843
full_sequence_adapter_layer22,20260904,aligned,0.782051282051282,0.8076923076923077,0.02564102564102566,15,7,0.13380050659179688
full_sequence_adapter_layer22,20260905,all,0.5224358974358975,0.5408653846153846,0.018429487179487114,68,45,0.038018645582796474
full_sequence_adapter_layer22,20260905,conflict,0.4358974358974359,0.46153846153846156,0.02564102564102566,57,33,0.014866752945626234
full_sequence_adapter_layer22,20260905,aligned,0.782051282051282,0.7788461538461539,-0.0032051282051281937,11,12,1.0
ordinary_lora_layer22,20260903,all,0.5224358974358975,0.5641025641025641,0.04166666666666663,135,83,0.0005226312011749714
ordinary_lora_layer22,20260903,conflict,0.4358974358974359,0.4700854700854701,0.03418803418803418,103,71,0.01851031864558669
ordinary_lora_layer22,20260903,aligned,0.782051282051282,0.8461538461538461,0.0641025641025641,32,12,0.003657766827927844
ordinary_lora_layer22,20260904,all,0.5224358974358975,0.5697115384615384,0.04727564102564097,126,67,2.6043492139056583e-05
ordinary_lora_layer22,20260904,conflict,0.4358974358974359,0.4775641025641026,0.041666666666666685,99,60,0.0024729923077082606
ordinary_lora_layer22,20260904,aligned,0.782051282051282,0.8461538461538461,0.0641025641025641,27,7,0.0008213953115046024
ordinary_lora_layer22,20260905,all,0.5224358974358975,0.5801282051282052,0.05769230769230771,150,78,2.1402792484593334e-06
ordinary_lora_layer22,20260905,conflict,0.4358974358974359,0.4861111111111111,0.0502136752136752,113,66,0.0005483633140185857
ordinary_lora_layer22,20260905,aligned,0.782051282051282,0.8621794871794872,0.08012820512820518,37,12,0.0004697573180081349
