system,seed,conflict,generator,metric,mean,ci_low,ci_high,n
branch_full,0,False,COSY,acoustic_correct,0.7788461538461539,0.7068965517241379,0.8469387755102041,104
branch_full,0,False,COSY,semantic_follow,0.7788461538461539,0.7068965517241379,0.8469387755102041,104
branch_full,0,False,COSY,other,0.22115384615384615,0.15306122448979592,0.29310344827586204,104
branch_full,0,False,COSY,acoustic_margin,0.0,0.0,0.0,104
branch_full,0,False,F5TTS,acoustic_correct,0.8461538461538461,0.7755102040816326,0.9186046511627907,104
branch_full,0,False,F5TTS,semantic_follow,0.8461538461538461,0.7755102040816326,0.9186046511627907,104
branch_full,0,False,F5TTS,other,0.15384615384615385,0.08139534883720931,0.22448979591836735,104
branch_full,0,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
branch_full,0,False,STYLE,acoustic_correct,0.7211538461538461,0.65,0.8023255813953488,104
branch_full,0,False,STYLE,semantic_follow,0.7211538461538461,0.65,0.8023255813953488,104
branch_full,0,False,STYLE,other,0.27884615384615385,0.19767441860465115,0.35,104
branch_full,0,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
branch_full,0,True,COSY,acoustic_correct,0.42948717948717946,0.36936936936936937,0.4807692307692308,312
branch_full,0,True,COSY,semantic_follow,0.3108974358974359,0.2568306010928962,0.38738738738738737,312
branch_full,0,True,COSY,other,0.25961538461538464,0.2107843137254902,0.2960199004975124,312
branch_full,0,True,COSY,acoustic_margin,0.3856169862839847,-0.014257701819620695,0.680721884625338,312
branch_full,0,True,F5TTS,acoustic_correct,0.34935897435897434,0.2857142857142857,0.4038527397260273,312
branch_full,0,True,F5TTS,semantic_follow,0.4967948717948718,0.4281609195402299,0.5882352941176471,312
branch_full,0,True,F5TTS,other,0.15384615384615385,0.10077519379844961,0.19551630434782605,312
branch_full,0,True,F5TTS,acoustic_margin,-0.6268028900660096,-1.1255114578682086,-0.2437132759015466,312
branch_full,0,True,STYLE,acoustic_correct,0.5288461538461539,0.48188405797101447,0.5727272727272728,312
branch_full,0,True,STYLE,semantic_follow,0.3076923076923077,0.272108843537415,0.35271317829457366,312
branch_full,0,True,STYLE,other,0.16346153846153846,0.1303030303030303,0.1956521739130435,312
branch_full,0,True,STYLE,acoustic_margin,0.7930689053475641,0.5149414469578484,1.0536010116413537,312
branch_no_continuous,0,False,COSY,acoustic_correct,0.5096153846153846,0.42727272727272725,0.6046511627906976,104
branch_no_continuous,0,False,COSY,semantic_follow,0.5096153846153846,0.42727272727272725,0.6046511627906976,104
branch_no_continuous,0,False,COSY,other,0.49038461538461536,0.3953488372093023,0.5727272727272728,104
branch_no_continuous,0,False,COSY,acoustic_margin,0.0,0.0,0.0,104
branch_no_continuous,0,False,F5TTS,acoustic_correct,0.46153846153846156,0.3828125,0.5612244897959183,104
branch_no_continuous,0,False,F5TTS,semantic_follow,0.46153846153846156,0.3828125,0.5612244897959183,104
branch_no_continuous,0,False,F5TTS,other,0.5384615384615384,0.4387755102040816,0.6171875,104
branch_no_continuous,0,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
branch_no_continuous,0,False,STYLE,acoustic_correct,0.5192307692307693,0.4594594594594595,0.5909090909090909,104
branch_no_continuous,0,False,STYLE,semantic_follow,0.5192307692307693,0.4594594594594595,0.5909090909090909,104
branch_no_continuous,0,False,STYLE,other,0.4807692307692308,0.4090909090909091,0.5405405405405406,104
branch_no_continuous,0,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
branch_no_continuous,0,True,COSY,acoustic_correct,0.2532051282051282,0.19641981792717086,0.30303030303030304,312
branch_no_continuous,0,True,COSY,semantic_follow,0.358974358974359,0.3005464480874317,0.4411764705882353,312
branch_no_continuous,0,True,COSY,other,0.38782051282051283,0.31862745098039214,0.4384150399290149,312
branch_no_continuous,0,True,COSY,acoustic_margin,-0.22015224252708065,-0.47411052440954043,-0.007168017441709482,312
branch_no_continuous,0,True,F5TTS,acoustic_correct,0.2532051282051282,0.2107843137254902,0.29310344827586204,312
branch_no_continuous,0,True,F5TTS,semantic_follow,0.3557692307692308,0.29393939393939394,0.4418604651162791,312
branch_no_continuous,0,True,F5TTS,other,0.391025641025641,0.3333333333333333,0.4333447488584473,312
branch_no_continuous,0,True,F5TTS,acoustic_margin,-0.13681890422072357,-0.3985968602832908,0.05877229434775261,312
branch_no_continuous,0,True,STYLE,acoustic_correct,0.25961538461538464,0.2210144927536232,0.29457364341085274,312
branch_no_continuous,0,True,STYLE,semantic_follow,0.41346153846153844,0.3524590163934426,0.48484848484848486,312
branch_no_continuous,0,True,STYLE,other,0.3269230769230769,0.2608695652173913,0.3850574712643678,312
branch_no_continuous,0,True,STYLE,acoustic_margin,-0.32031249401207346,-0.5200650983996457,-0.13780605639783877,312
branch_no_discrete,0,False,COSY,acoustic_correct,0.7596153846153846,0.6956521739130435,0.8255940343781596,104
branch_no_discrete,0,False,COSY,semantic_follow,0.7596153846153846,0.6956521739130435,0.8255940343781596,104
branch_no_discrete,0,False,COSY,other,0.2403846153846154,0.17440596562184027,0.30434782608695654,104
branch_no_discrete,0,False,COSY,acoustic_margin,0.0,0.0,0.0,104
branch_no_discrete,0,False,F5TTS,acoustic_correct,0.8653846153846154,0.8017241379310345,0.9302325581395349,104
branch_no_discrete,0,False,F5TTS,semantic_follow,0.8653846153846154,0.8017241379310345,0.9302325581395349,104
branch_no_discrete,0,False,F5TTS,other,0.1346153846153846,0.06976744186046512,0.19827586206896552,104
branch_no_discrete,0,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
branch_no_discrete,0,False,STYLE,acoustic_correct,0.7403846153846154,0.6724137931034483,0.813985085945399,104
branch_no_discrete,0,False,STYLE,semantic_follow,0.7403846153846154,0.6724137931034483,0.813985085945399,104
branch_no_discrete,0,False,STYLE,other,0.25961538461538464,0.18601491405460063,0.3275862068965517,104
branch_no_discrete,0,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
branch_no_discrete,0,True,COSY,acoustic_correct,0.3814102564102564,0.3197278911564626,0.4393939393939394,312
branch_no_discrete,0,True,COSY,semantic_follow,0.3685897435897436,0.31212121212121213,0.4387755102040816,312
branch_no_discrete,0,True,COSY,other,0.25,0.20833333333333334,0.28160919540229884,312
branch_no_discrete,0,True,COSY,acoustic_margin,0.04146634390464243,-0.34108527075646394,0.3356076133124198,312
branch_no_discrete,0,True,F5TTS,acoustic_correct,0.30128205128205127,0.23423423423423423,0.3567801339285713,312
branch_no_discrete,0,True,F5TTS,semantic_follow,0.5608974358974359,0.4900497512437811,0.6557971014492754,312
branch_no_discrete,0,True,F5TTS,other,0.13782051282051283,0.09523809523809523,0.1724137931034483,312
branch_no_discrete,0,True,F5TTS,acoustic_margin,-0.9214743646779635,-1.3935889396847523,-0.5496833060158365,312
branch_no_discrete,0,True,STYLE,acoustic_correct,0.5224358974358975,0.47959183673469385,0.5632183908045977,312
branch_no_discrete,0,True,STYLE,semantic_follow,0.3333333333333333,0.2923497267759563,0.391304347826087,312
branch_no_discrete,0,True,STYLE,other,0.14423076923076922,0.10256410256410256,0.18032786885245902,312
branch_no_discrete,0,True,STYLE,acoustic_margin,0.8062900572668952,0.5033854180391865,1.0849653131714334,312
branch_rolled_continuous,0,False,COSY,acoustic_correct,0.7115384615384616,0.625,0.7909090909090909,104
branch_rolled_continuous,0,False,COSY,semantic_follow,0.7115384615384616,0.625,0.7909090909090909,104
branch_rolled_continuous,0,False,COSY,other,0.28846153846153844,0.20909090909090908,0.375,104
branch_rolled_continuous,0,False,COSY,acoustic_margin,0.0,0.0,0.0,104
branch_rolled_continuous,0,False,F5TTS,acoustic_correct,0.7980769230769231,0.725,0.875,104
