mode,label,n,accuracy,coverage
full,angry,48,0.3541666666666667,0.3958333333333333
full,happy,48,0.0625,0.6666666666666666
full,neutral,48,0.75,0.9583333333333334
full,sad,48,0.7291666666666666,0.9166666666666666
no_continuous,angry,48,0.3541666666666667,0.9791666666666666
no_continuous,happy,48,0.125,0.8958333333333334
no_continuous,neutral,48,0.10416666666666667,0.8541666666666666
no_continuous,sad,48,0.875,0.9583333333333334
no_discrete,angry,48,0.1875,0.20833333333333334
no_discrete,happy,48,0.041666666666666664,0.5416666666666666
no_discrete,neutral,48,0.75,0.875
no_discrete,sad,48,0.7083333333333334,0.875
rolled_continuous,angry,48,0.7291666666666666,0.9166666666666666
rolled_continuous,happy,48,0.08333333333333333,0.9166666666666666
rolled_continuous,neutral,48,0.875,1.0
rolled_continuous,sad,48,0.7291666666666666,1.0
