pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s1_neutral_happy,1,1,neutral,happy,-0.3125,0.25,-0.0625,0.1875,0.40625,0.09375,-0.3125
a01_s1_neutral_sad,1,1,neutral,sad,-1.0625004768371582,-0.6875,-0.9375,-0.3125,0.5000002384185791,0.2500002384185791,0.2499995231628418
a01_s1_neutral_angry,1,1,neutral,angry,-0.7500004768371582,-1.0,-0.9375,-1.9375,-0.6249997615814209,-0.5624997615814209,-0.7500004768371582
a01_s1_happy_sad,1,1,happy,sad,-0.625,-0.6875,-0.8125,-0.6875,0.03125,-0.09375,0.1875
a01_s1_happy_angry,1,1,happy,angry,-1.1875,-0.8125,-1.0,-1.6875,-0.15625,-0.34375,-1.0625
a01_s1_sad_angry,1,1,sad,angry,-0.0625,-0.75,-0.375,-1.0,-0.65625,-0.28125,0.0625
a01_s2_neutral_happy,1,2,neutral,happy,0.5625,0.25,0.4375,0.3125,-0.21875,-0.03125,0.1875
a01_s2_neutral_sad,1,2,neutral,sad,-0.375,-0.3125,-0.5625,-0.25,0.1875,-0.0625,0.25
a01_s2_neutral_angry,1,2,neutral,angry,0.875,0.5625,0.75,0.3125,-0.375,-0.1875,-0.125
a01_s2_happy_sad,1,2,happy,sad,-0.375,-0.625,-0.5625,-0.6875,-0.1875,-0.125,0.125
a01_s2_happy_angry,1,2,happy,angry,-0.125,-0.75,-0.6875,-0.375,-0.15625,-0.09375,0.9375
a01_s2_sad_angry,1,2,sad,angry,1.0,1.4375,0.75,0.3125,0.0,-0.6875,-0.875
a02_s1_neutral_happy,2,1,neutral,happy,-0.1875,-1.125,0.0,-0.9999997615814209,-0.9687498807907104,0.15625011920928955,-0.0624997615814209
a02_s1_neutral_sad,2,1,neutral,sad,-1.0,-0.875,-1.125,-1.5,-0.125,-0.375,-0.5
a02_s1_neutral_angry,2,1,neutral,angry,-1.75,-0.875,-1.4375,-1.0,0.65625,0.09375,-0.4375
a02_s1_happy_sad,2,1,happy,sad,-1.0,-1.0625,-0.9375,-0.8125,0.03125,0.15625,0.1875
a02_s1_happy_angry,2,1,happy,angry,-2.0,-1.125,-1.4375,-1.1875,0.5625,0.25,-0.625
a02_s1_sad_angry,2,1,sad,angry,-0.4375,-0.125,-0.5,-0.875,-0.03125,-0.40625,-0.6875
a02_s2_neutral_happy,2,2,neutral,happy,-0.0625,0.375,0.0,0.375,0.40625,0.03125,-0.0625
a02_s2_neutral_sad,2,2,neutral,sad,-0.75,-0.1875,-0.8125,-0.375,0.5,-0.125,-0.125
a02_s2_neutral_angry,2,2,neutral,angry,0.375,0.0,0.1875,-0.625,-0.59375,-0.40625,-0.4375
a02_s2_happy_sad,2,2,happy,sad,-0.9375,-0.5,-0.625,-0.5,0.28125,0.15625,-0.3125
a02_s2_happy_angry,2,2,happy,angry,-0.1875,-0.25,0.0,-0.3125,-0.1875,0.0625,-0.25
a02_s2_sad_angry,2,2,sad,angry,1.0625,0.0625,1.375,0.125,-1.125,0.1875,-0.25
a03_s1_neutral_happy,3,1,neutral,happy,-0.1875,0.0625,-0.25,0.125,0.3125,0.0,0.125
a03_s1_neutral_sad,3,1,neutral,sad,-1.1875,-0.5,-0.875,-0.6875,0.4375,0.0625,-0.5
a03_s1_neutral_angry,3,1,neutral,angry,-1.0625,-1.3125,-1.4375,-0.75,0.21875,0.09375,0.9375
a03_s1_happy_sad,3,1,happy,sad,-0.3125,-0.25,-0.5,-0.5,0.03125,-0.21875,-0.0625
a03_s1_happy_angry,3,1,happy,angry,-0.9375,-0.6875,-0.5625002384185791,-1.0,-0.09374988079071045,0.03124988079071045,-0.6874997615814209
a03_s1_sad_angry,3,1,sad,angry,-0.6875,-1.0,-1.0,-0.3125,0.1875,0.1875,1.0
a03_s2_neutral_happy,3,2,neutral,happy,0.1875,0.5625,0.25,0.5,0.3125,0.0,-0.125
a03_s2_neutral_sad,3,2,neutral,sad,-0.625,-0.875,-0.375,-1.3125,-0.59375,-0.09375,-0.6875
a03_s2_neutral_angry,3,2,neutral,angry,0.0625,0.25,0.9375,0.4375,-0.15625,0.53125,-0.6875
a03_s2_happy_sad,3,2,happy,sad,-0.625,-0.75,-1.1875,-1.125,-0.03125,-0.46875,0.1875
a03_s2_happy_angry,3,2,happy,angry,-0.1875,-0.25,0.0,-0.5,-0.28125,-0.03125,-0.4375
a03_s2_sad_angry,3,2,sad,angry,1.8125,1.4375,1.1875,0.25,-0.65625,-0.90625,-0.5625
a04_s1_neutral_happy,4,1,neutral,happy,-0.0625,0.5,0.0,0.0625,0.3125,-0.1875,-0.5
a04_s1_neutral_sad,4,1,neutral,sad,-0.8125,-1.0625004768371582,-1.09375,-0.75,0.0468747615814209,0.0156252384185791,0.5937504768371582
a04_s1_neutral_angry,4,1,neutral,angry,-1.3125,-0.9375,-1.4375,-0.6875,0.5625,0.0625,0.375
