pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s1_happy_sad,1,1,happy,sad,0,2.3046875,2.3046875,2.3046875,2.3046875,0.0,0.0,0.0
a01_s1_happy_sad,1,1,happy,sad,1,-0.28125,-0.328125,-0.1796875,-0.15625,-0.01171875,0.13671875,0.0703125
a01_s1_happy_sad,1,1,happy,sad,2,-0.587890625,-0.66015625,-0.552734375,-0.5458984375,-0.03271484375,0.07470703125,0.0791015625
a01_s1_happy_sad,1,1,happy,sad,3,-0.484375,-0.4296875,-0.484375,-0.3203125,0.109375,0.0546875,0.109375
a01_s1_happy_sad,1,1,happy,sad,4,-0.203125,0.109375,-0.3125,-0.015625,0.3046875,-0.1171875,-0.015625
a01_s1_happy_sad,1,1,happy,sad,5,-0.734375,-0.4375,-1.0,-0.609375,0.34375,-0.21875,0.09375
a01_s1_happy_sad,1,1,happy,sad,6,-1.75,-1.609375,-1.90625,-1.625,0.2109375,-0.0859375,0.140625
a01_s1_happy_sad,1,1,happy,sad,7,-0.71875,-0.625,-0.84375,-0.78125,0.078125,-0.140625,-0.03125
a01_s1_happy_sad,1,1,happy,sad,8,-0.90625,-1.078125,-1.15625,-1.28125,-0.1484375,-0.2265625,0.046875
a01_s1_happy_sad,1,1,happy,sad,9,0.828125,0.90625,0.46875,0.6875,0.1484375,-0.2890625,0.140625
a01_s1_happy_sad,1,1,happy,sad,10,-1.765625,-1.890625,-1.734375,-1.7421875,-0.06640625,0.08984375,0.1171875
a01_s1_happy_sad,1,1,happy,sad,11,-2.046875,-1.34375,-2.109375,-1.234375,0.7890625,0.0234375,0.171875
a01_s1_happy_sad,1,1,happy,sad,12,-1.984375,-1.8125,-2.21875,-1.75,0.3203125,-0.0859375,0.296875
a01_s1_happy_sad,1,1,happy,sad,13,-1.703125,-1.703125,-2.1875,-1.859375,0.1640625,-0.3203125,0.328125
a01_s1_happy_sad,1,1,happy,sad,14,-0.9375,-1.1406240463256836,-1.2890625,-1.4140625,-0.1640620231628418,-0.3125004768371582,0.0781240463256836
a01_s1_happy_sad,1,1,happy,sad,15,-0.5937490463256836,-0.78125,-0.75,-1.0,-0.2187504768371582,-0.1875004768371582,-0.062499046325683594
a01_s1_happy_sad,1,1,happy,sad,16,-2.13671875,-2.00390625,-2.2382802963256836,-2.5625,-0.0957036018371582,-0.3300776481628418,-0.4570322036743164
a01_s1_happy_sad,1,1,happy,sad,17,-2.109375,-1.943359375,-2.34375,-2.5976572036743164,-0.0439457893371582,-0.4443364143371582,-0.4199228286743164
a01_s1_happy_sad,1,1,happy,sad,18,-2.21875,-2.4921875,-2.4296884536743164,-2.8828125,-0.3632807731628418,-0.3007817268371582,-0.1796865463256836
a01_s1_happy_sad,1,1,happy,sad,19,-1.1796875,-1.39453125,-1.125,-1.52734375,-0.30859375,-0.0390625,-0.1875
a01_s1_happy_sad,1,1,happy,sad,20,-0.1875,-0.3125,-0.28125,-0.5234375,-0.18359375,-0.15234375,-0.1171875
