layer,metric,mean,ci_low,ci_high
0,ME_C,0.0,0.0,0.0
0,ME_D,0.0,0.0,0.0
0,interaction,0.0,0.0,0.0
1,ME_C,0.023525238037109375,0.0058677375316619875,0.0405523916085561
1,ME_D,-0.025732040405273438,-0.04102794528007507,-0.00908365646998088
1,interaction,0.042335192362467446,0.03461941083272298,0.04999871253967285
2,ME_C,0.01181793212890625,-0.01045093536376953,0.03502817153930664
2,ME_D,0.005109151204427083,-0.011272621154785157,0.02159633636474609
2,interaction,-0.006708780924479167,-0.014554595947265625,0.001045481363932288
3,ME_C,0.05451458692550659,0.024993647510806717,0.08273420532544452
3,ME_D,0.007904032866160074,-0.0110066590209802,0.02735410369932651
3,interaction,0.027730226516723633,0.00976398016015689,0.04488162373503048
4,ME_C,0.092529296875,0.04296875,0.14388224283854165
4,ME_D,-0.06827799479166667,-0.0927734375,-0.042887369791666664
4,interaction,0.06494140625,0.042154947916666664,0.08740234375
5,ME_C,-0.007405598958333333,-0.050130208333333336,0.039632161458333336
5,ME_D,-0.10066731770833333,-0.13037109375,-0.0705546061197917
5,interaction,0.039225260416666664,0.016276041666666668,0.060221354166666664
6,ME_C,0.034912109375,-0.004964192708333333,0.0747090657552083
6,ME_D,-0.059326171875,-0.08463541666666667,-0.034423828125
6,interaction,0.056803385416666664,0.0390625,0.07307942708333333
7,ME_C,-0.12744140625,-0.16389973958333334,-0.08902994791666667
7,ME_D,0.005045572916666667,-0.02880859375,0.03857421875
7,interaction,0.09342447916666667,0.07259114583333333,0.11490885416666667
8,ME_C,-0.10042317708333333,-0.15902099609375,-0.04011840820312503
8,ME_D,-0.06412760416666667,-0.09952799479166667,-0.028889973958333332
8,interaction,0.037109375,0.01318359375,0.06103515625
9,ME_C,-0.2037353515625,-0.2923990885416667,-0.12060445149739585
9,ME_D,-0.11136881510416667,-0.14835713704427084,-0.07613016764322918
9,interaction,-0.072998046875,-0.10872395833333333,-0.037353515625
10,ME_C,-0.30126953125,-0.37504068526128925,-0.2267619021236897
10,ME_D,0.044881194829940796,0.010944611330827081,0.08064981102943418
10,interaction,0.05639650424321493,0.017901592950026197,0.09212447777390477
11,ME_C,-0.17301431794961294,-0.23193460032343866,-0.11067610494792463
11,ME_D,0.013183598717053732,-0.02413128986954689,0.05045572929084301
11,interaction,0.07324223717053731,0.03344732448458672,0.11442060321569443
12,ME_C,-0.08536783357461293,-0.15568236336112024,-0.007322179277737965
12,ME_D,-0.000569656491279602,-0.03296101875603199,0.03304037464161714
12,interaction,0.06103514631589254,0.01350910464922587,0.1082356574634711
