pair_id,actor,statement,label_a,label_b,file_a,path_a,file_b,path_b
a01_s1_neutral_happy,1,1,neutral,happy,03-01-01-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-01.wav,03-01-03-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-01.wav
a01_s1_neutral_sad,1,1,neutral,sad,03-01-01-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-01.wav,03-01-04-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-01.wav
a01_s1_neutral_angry,1,1,neutral,angry,03-01-01-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-01.wav,03-01-05-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-01.wav
a01_s1_happy_sad,1,1,happy,sad,03-01-03-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-01.wav,03-01-04-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-01.wav
a01_s1_happy_angry,1,1,happy,angry,03-01-03-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-01.wav,03-01-05-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-01.wav
a01_s1_sad_angry,1,1,sad,angry,03-01-04-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-01.wav,03-01-05-01-01-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-01.wav
a01_s2_neutral_happy,1,2,neutral,happy,03-01-01-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-01.wav,03-01-03-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-01.wav
a01_s2_neutral_sad,1,2,neutral,sad,03-01-01-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-01.wav,03-01-04-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-01.wav
a01_s2_neutral_angry,1,2,neutral,angry,03-01-01-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-01.wav,03-01-05-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-01.wav
a01_s2_happy_sad,1,2,happy,sad,03-01-03-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-01.wav,03-01-04-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-01.wav
a01_s2_happy_angry,1,2,happy,angry,03-01-03-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-01.wav,03-01-05-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-01.wav
a01_s2_sad_angry,1,2,sad,angry,03-01-04-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-01.wav,03-01-05-01-02-01-01.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-01.wav
a02_s1_neutral_happy,2,1,neutral,happy,03-01-01-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-02.wav,03-01-03-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-02.wav
a02_s1_neutral_sad,2,1,neutral,sad,03-01-01-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-02.wav,03-01-04-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-02.wav
a02_s1_neutral_angry,2,1,neutral,angry,03-01-01-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-02.wav,03-01-05-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-02.wav
a02_s1_happy_sad,2,1,happy,sad,03-01-03-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-02.wav,03-01-04-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-02.wav
a02_s1_happy_angry,2,1,happy,angry,03-01-03-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-02.wav,03-01-05-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-02.wav
a02_s1_sad_angry,2,1,sad,angry,03-01-04-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-02.wav,03-01-05-01-01-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-02.wav
a02_s2_neutral_happy,2,2,neutral,happy,03-01-01-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-02.wav,03-01-03-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-02.wav
a02_s2_neutral_sad,2,2,neutral,sad,03-01-01-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-02.wav,03-01-04-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-02.wav
a02_s2_neutral_angry,2,2,neutral,angry,03-01-01-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-02.wav,03-01-05-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-02.wav
a02_s2_happy_sad,2,2,happy,sad,03-01-03-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-02.wav,03-01-04-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-02.wav
a02_s2_happy_angry,2,2,happy,angry,03-01-03-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-02.wav,03-01-05-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-02.wav
a02_s2_sad_angry,2,2,sad,angry,03-01-04-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-02.wav,03-01-05-01-02-01-02.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-02.wav
a03_s1_neutral_happy,3,1,neutral,happy,03-01-01-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-03.wav,03-01-03-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-03.wav
a03_s1_neutral_sad,3,1,neutral,sad,03-01-01-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-03.wav,03-01-04-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-03.wav
a03_s1_neutral_angry,3,1,neutral,angry,03-01-01-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-01-01-03.wav,03-01-05-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-03.wav
a03_s1_happy_sad,3,1,happy,sad,03-01-03-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-03.wav,03-01-04-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-03.wav
a03_s1_happy_angry,3,1,happy,angry,03-01-03-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-01-01-03.wav,03-01-05-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-03.wav
a03_s1_sad_angry,3,1,sad,angry,03-01-04-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-01-01-03.wav,03-01-05-01-01-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-01-01-03.wav
a03_s2_neutral_happy,3,2,neutral,happy,03-01-01-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-03.wav,03-01-03-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-03-01-02-01-03.wav
a03_s2_neutral_sad,3,2,neutral,sad,03-01-01-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-03.wav,03-01-04-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-04-01-02-01-03.wav
a03_s2_neutral_angry,3,2,neutral,angry,03-01-01-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-01-01-02-01-03.wav,03-01-05-01-02-01-03.wav,/root/autodl-tmp/kfair/data/ravdess_eval_audio/03-01-05-01-02-01-03.wav
