condition,layer,metric,mean,ci_low,ci_high,n
acoustic,12.0,acoustic_margin,1.1373697951397237,0.8763020944432355,1.4108235636250657,192
acoustic,12.0,rescue,0.011718750523868948,-0.0003255202689615544,0.024088555861574906,192
acoustic,12.0,acoustic_follow,0.40625,0.3541666666666667,0.4583333333333333,192
acoustic,12.0,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
acoustic,12.0,other,0.3958333333333333,0.3333333333333333,0.4583333333333333,192
acoustic,18.0,acoustic_margin,1.1490885150657657,0.8821532970284656,1.4306803009038653,192
acoustic,18.0,rescue,0.02343747044991081,0.004231745429084791,0.04395342826901457,192
acoustic,18.0,acoustic_follow,0.421875,0.3645833333333333,0.4791666666666667,192
acoustic,18.0,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
acoustic,18.0,other,0.3802083333333333,0.3177083333333333,0.4427083333333333,192
acoustic,22.0,acoustic_margin,1.1809895971576527,0.925756849982281,1.4456380324702574,192
acoustic,22.0,rescue,0.05533855254179798,-0.01399735089483632,0.12338056014850725,192
acoustic,22.0,acoustic_follow,0.4270833333333333,0.375,0.484375,192
acoustic,22.0,discrete_follow,0.18229166666666666,0.14583333333333334,0.21875,192
acoustic,22.0,other,0.390625,0.328125,0.453125,192
acoustic,24.0,acoustic_margin,1.17317709090518,0.9215413407611777,1.4290364774061648,192
acoustic,24.0,rescue,0.04752604628932507,-0.03027342265753153,0.12369790857956105,192
acoustic,24.0,acoustic_follow,0.4479166666666667,0.4010416666666667,0.4947916666666667,192
acoustic,24.0,discrete_follow,0.18229166666666666,0.14583333333333334,0.21875,192
acoustic,24.0,other,0.3697916666666667,0.3125,0.4270833333333333,192
acoustic,25.0,acoustic_margin,1.1692708398477407,0.9130777992593115,1.4254557345394763,192
acoustic,25.0,rescue,0.043619795231885895,-0.03906248425106848,0.12305503530321088,192
acoustic,25.0,acoustic_follow,0.4427083333333333,0.4010416666666667,0.484375,192
acoustic,25.0,discrete_follow,0.18229166666666666,0.14583333333333334,0.21875,192
acoustic,25.0,other,0.375,0.3177083333333333,0.4375,192
acoustic,26.0,acoustic_margin,1.1813151101863089,0.925773120345184,1.4329508609619852,192
acoustic,26.0,rescue,0.05566406557045411,-0.02539877171814926,0.13444010493233993,192
acoustic,26.0,acoustic_follow,0.453125,0.40625,0.4947916666666667,192
acoustic,26.0,discrete_follow,0.17708333333333334,0.140625,0.21354166666666666,192
acoustic,26.0,other,0.3697916666666667,0.3125,0.4270833333333333,192
acoustic,27.0,acoustic_margin,1.204752606373707,0.9547281928225857,1.461596697384084,192
acoustic,27.0,rescue,0.07910156175785232,-0.03256021747850657,0.19759928173916694,192
acoustic,27.0,acoustic_follow,0.453125,0.4114583333333333,0.4947916666666667,192
acoustic,27.0,discrete_follow,0.1875,0.15625,0.21875,192
acoustic,27.0,other,0.359375,0.3072916666666667,0.4114583333333333,192
discrete,12.0,acoustic_margin,1.187825513217831,0.9208902797865448,1.4589843499374788,192
discrete,12.0,rescue,0.06217446860197621,0.03515625994671912,0.08919268365352764,192
discrete,12.0,acoustic_follow,0.4114583333333333,0.3645833333333333,0.4583333333333333,192
discrete,12.0,discrete_follow,0.19791666666666666,0.16666666666666666,0.22916666666666666,192
discrete,12.0,other,0.390625,0.3333333333333333,0.4479166666666667,192
