pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s1_neutral_happy,1,1,neutral,happy,-4.374999895691872,-0.5625,-4.374999925494194,-1.375,3.406249910593033,-0.4062500149011612,-0.8124999701976776
a01_s1_neutral_sad,1,1,neutral,sad,-3.3749998956918716,1.2499998807907104,-3.6250001154839993,1.0,4.624999945983291,-0.25000005029141903,3.390014171600342e-07
a01_s1_neutral_angry,1,1,neutral,angry,-4.499999895691872,2.937500476837158,-4.624999776482582,0.75,6.406250074505806,-1.1562501788139343,-2.0625005960464478
a01_s1_happy_sad,1,1,happy,sad,3.25,0.625,5.25,0.375,-3.75,0.875,-2.25
a01_s1_happy_angry,1,1,happy,angry,1.25,2.500000476837158,0.6875,0.9375,0.7500002384185791,-1.062500238418579,-1.0000004768371582
a01_s1_sad_angry,1,1,sad,angry,1.7499998807907104,1.3125,1.375,-0.625,-1.2187499403953552,-1.1562499403953552,-1.5625001192092896
a01_s2_neutral_happy,1,2,neutral,happy,-3.7500000819563866,0.625,-3.7500000447034836,0.25,4.187500063329935,-0.1874999813735485,-0.375000037252903
a01_s2_neutral_sad,1,2,neutral,sad,-3.3750000819563866,-3.499999925494194,-3.6249999068677425,-3.625,-0.06249996833503246,-0.18749994970858097,0.12499975040555
a01_s2_neutral_angry,1,2,neutral,angry,-3.8750000819563866,0.6250002384185791,-4.374999865889549,1.000000238418579,4.937500212341547,-0.062499891966581345,0.8749997839331627
a01_s2_happy_sad,1,2,happy,sad,-0.125,-2.875,1.0,-1.875,-2.8125,1.0625,-0.125
a01_s2_happy_angry,1,2,happy,angry,-1.5,1.8125,-2.1250001192092896,1.750000238418579,3.5937501788139343,-0.3437499403953552,0.5625003576278687
a01_s2_sad_angry,1,2,sad,angry,0.75,-2.125,0.75,-2.625,-3.125,-0.25,-0.5
a02_s1_neutral_happy,2,1,neutral,happy,-2.374999910593033,-0.875,-2.250000089406967,-1.6249999403953552,1.0625000298023224,-0.3125000596046448,-0.8749997615814209
a02_s1_neutral_sad,2,1,neutral,sad,-2.749999910593033,2.875,-2.875000089406967,3.6875,6.09375,0.34374991059303284,0.9375001788139343
a02_s1_neutral_angry,2,1,neutral,angry,-5.124999910593033,6.000000238418579,-4.937500208616257,5.125,10.593750178813934,-0.3437502682209015,-1.0624999403953552
a02_s1_happy_sad,2,1,happy,sad,1.4999999403953552,-2.25,0.8749999403953552,-1.7499998807907104,-3.1874998807907104,-0.062499940395355225,1.1250001192092896
a02_s1_happy_angry,2,1,happy,angry,-0.75,5.062500238418579,-2.4999998807907104,3.5625,5.937500059604645,-1.6250000596046448,0.24999964237213135
a02_s1_sad_angry,2,1,sad,angry,2.749999910593033,3.125,2.9999999701976776,2.0,-0.3124999403953552,-0.4374999701976776,-1.3750000596046448
a02_s2_neutral_happy,2,2,neutral,happy,-4.125000074505806,-2.25,-4.12500012665987,-2.374999925494194,1.812500137835741,-0.062499988824129105,-0.12499987334012985
a02_s2_neutral_sad,2,2,neutral,sad,-3.000000074505806,0.625,-3.6249999031424522,0.625,3.937499988824129,-0.31249991431832314,0.6249998286366463
a02_s2_neutral_angry,2,2,neutral,angry,-6.125000074505806,2.625,-6.437499802559614,2.249999761581421,8.71874981932342,-0.34374998323619366,-0.06250051036477089
a02_s2_happy_sad,2,2,happy,sad,0.6249998807907104,-4.499999761581421,-0.24999988079071045,-4.374999940395355,-4.624999850988388,-0.3749999701976776,0.9999995827674866
a02_s2_happy_angry,2,2,happy,angry,-2.375000238418579,2.25,-2.4375,1.749999761581421,4.40625,-0.28125,-0.4375004768371582
a02_s2_sad_angry,2,2,sad,angry,3.375,0.75,3.249999761581421,0.9999997615814209,-2.4375,0.0624997615814209,0.375
a03_s1_neutral_happy,3,1,neutral,happy,-4.375000070780516,2.125,-4.250000096857548,2.687500238418579,6.718750203028321,0.3437501061707735,0.4375002644956112
a03_s1_neutral_sad,3,1,neutral,sad,-3.5000000707805157,2.5,-3.500000026077032,2.125,5.812500048428774,-0.1874999776482582,-0.3750000447034836
a03_s1_neutral_angry,3,1,neutral,angry,-4.500000070780516,4.875000094994903,-4.875000011175871,6.1249998258426785,10.187500001396984,0.43749989522621036,1.6249996712431312
a03_s1_happy_sad,3,1,happy,sad,2.999999910593033,-2.5,4.624999895691872,-1.625,-5.874999903142452,1.2499999925494194,-0.7499999850988388
a03_s1_happy_angry,3,1,happy,angry,2.2499998807907104,5.624999972060323,3.0,6.1249998258426785,3.2499999585561454,0.6249999864958227,-0.25000026542693377
a03_s1_sad_angry,3,1,sad,angry,6.375000125728548,4.6250001564621925,6.249999936670065,5.4999998258426785,-1.2500000400468707,0.3749997401610017,0.9999998584389687
a03_s2_neutral_happy,3,2,neutral,happy,-4.250000238418579,5.8125001192092896,-4.250000059604645,6.062500074505806,10.18750024586916,0.12500006705522537,0.2499997764825821
a03_s2_neutral_sad,3,2,neutral,sad,-3.375,3.25,-3.375000111758709,3.875,6.9375000558793545,0.3124999441206455,0.625000111758709
a03_s2_neutral_angry,3,2,neutral,angry,-4.000000238418579,2.125,-3.625000089406967,2.0625,5.906250163912773,0.15625007450580597,-0.43750014901161194
a03_s2_happy_sad,3,2,happy,sad,-2.375000074505806,0.875,-2.124999925494194,0.125,2.75,-0.24999992549419403,-1.000000149011612
a03_s2_happy_angry,3,2,happy,angry,-3.375000074505806,1.749999761581421,-2.749999925494194,2.125,4.9999998807907104,0.5000001937150955,-0.24999991059303284
a03_s2_sad_angry,3,2,sad,angry,2.625,4.125,1.8749999701976776,3.1875,1.4062500149011612,-0.8437500149011612,-0.1874999701976776
a04_s1_neutral_happy,4,1,neutral,happy,-2.1249998956918716,2.5,-2.0000001192092896,1.375,4.000000007450581,-0.500000111758709,-1.249999776482582
a04_s1_neutral_sad,4,1,neutral,sad,-2.4999998956918716,0.0,-2.6249999701976776,0.0,2.5624999329447746,-0.06250003725290298,0.12500007450580597
a04_s1_neutral_angry,4,1,neutral,angry,-4.500000134110451,7.000000357627869,-4.375000149011612,6.687499761581421,11.281250201165676,-0.09375030547380447,-0.43750058114528656
a04_s1_happy_sad,4,1,happy,sad,0.125,0.5,0.0,1.6249998807907104,0.9999999403953552,0.4999999403953552,1.2499998807907104
a04_s1_happy_angry,4,1,happy,angry,-1.625,6.062499523162842,-1.3750000596046448,6.062499761581421,7.562499672174454,0.12500008940696716,-0.24999970197677612
a04_s1_sad_angry,4,1,sad,angry,-1.2499998807907104,3.6875,-1.2500001192092896,4.499999761581421,5.3437498807907104,0.4062497615814209,0.8125
a04_s2_neutral_happy,4,2,neutral,happy,-2.5000000596046448,2.375,-2.1249999403953552,3.4375,5.21875,0.7187500596046448,0.6874998807907104
a04_s2_neutral_sad,4,2,neutral,sad,-2.7500000596046448,3.6249998807907104,-2.25,5.1875,6.906249970197678,1.0312500894069672,1.0625000596046448
a04_s2_neutral_angry,4,2,neutral,angry,-3.8749998211860657,4.5,-3.875000014901161,4.562500476837158,8.406250156462193,0.03125014156103134,0.06250067055225372
a04_s2_happy_sad,4,2,happy,sad,1.6250000298023224,3.7499999701976776,2.5000000596046448,4.0,1.8124999403953552,0.5625000298023224,-0.625
a04_s2_happy_angry,4,2,happy,angry,0.625,3.6875,1.0,3.812500476837158,2.937500238418579,0.2500002384185791,-0.2499995231628418
a04_s2_sad_angry,4,2,sad,angry,-1.5,1.5,-0.7500000596046448,1.5625,2.6562500298023224,0.4062499701976776,-0.6874999403953552
a05_s1_neutral_happy,5,1,neutral,happy,-5.124999985098839,3.3124998807907104,-5.6250001937150955,3.874999761581421,8.968749910593033,0.031249836087226868,1.0625000894069672
a05_s1_neutral_sad,5,1,neutral,sad,-3.624999985098839,-1.375,-3.6249998845160007,-1.75,2.0624999348074198,-0.18749994970858097,-0.37500010058283806
a05_s1_neutral_angry,5,1,neutral,angry,-4.624999985098839,2.6875,-4.874999888241291,2.6875,7.437499936670065,-0.12499995157122612,0.24999990314245224
a05_s1_happy_sad,5,1,happy,sad,0.875,-4.375,0.25,-3.8750001192092896,-4.687500059604645,-0.06250005960464478,1.1249998807907104
a05_s1_happy_angry,5,1,happy,angry,0.875,0.125,0.875,1.25,-0.1875,0.5625,1.125
a05_s1_sad_angry,5,1,sad,angry,5.375000089406967,0.375,4.999999940395355,0.375,-4.812500014901161,-0.18750007450580597,0.37500014901161194
a05_s2_neutral_happy,5,2,neutral,happy,-4.624999765306711,1.0,-4.874999959021807,0.5,5.499999862164259,-0.37500009685754776,-0.24999980628490448
a05_s2_neutral_sad,5,2,neutral,sad,-3.2500000037252903,-0.7500001192092896,-3.3750001080334187,-1.1249999403953552,2.375000026077032,-0.24999996274709702,-0.24999971687793732
a05_s2_neutral_angry,5,2,neutral,angry,-4.624999765306711,-0.125,-4.500000085681677,1.5,5.249999925494194,0.8749998398125172,1.5000003203749657
a05_s2_happy_sad,5,2,happy,sad,0.875,0.625,0.625,0.0,-0.4375,-0.4375,-0.375
a05_s2_happy_angry,5,2,happy,angry,3.2499999403953552,2.125,3.6249998956918716,2.125,-1.3124999180436134,0.1874999776482582,-0.3749999552965164
a05_s2_sad_angry,5,2,sad,angry,1.0,0.875,2.6250000298023224,2.5,-0.1250000149011612,1.6250000149011612,-2.9802322387695312e-08
a06_s1_neutral_happy,6,1,neutral,happy,-5.6250001303851604,1.3125,-4.500000111758709,2.749999761581421,7.093750001862645,1.2812498901039362,0.3124997429549694
a06_s1_neutral_sad,6,1,neutral,sad,-3.8749998919665813,1.875,-4.25000012293458,1.5,5.750000007450581,-0.37500011548399925,2.3096799850463867e-07
a06_s1_neutral_angry,6,1,neutral,angry,-5.6875001303851604,4.812499523162842,-5.0,3.0,9.249999826774001,-0.5624996963888407,-2.4999996535480022
a06_s1_happy_sad,6,1,happy,sad,1.375,-0.8750000596046448,1.2500000298023224,-1.2500001192092896,-2.3750001043081284,-0.2500000149011612,-0.25000008940696716
a06_s1_happy_angry,6,1,happy,angry,-1.5,3.312499523162842,-1.6875,2.3125,4.406249761581421,-0.5937497615814209,-0.8124995231628418
a06_s1_sad_angry,6,1,sad,angry,1.5000001192092896,1.0,0.875,1.0,-0.18750005960464478,-0.3125000596046448,0.6250001192092896
a06_s2_neutral_happy,6,2,neutral,happy,-5.2500001303851604,-4.125000134110451,-5.374999959021807,-4.562499821186066,0.9687500670552254,-0.2812497578561306,-0.31249985843896866
a06_s2_neutral_sad,6,2,neutral,sad,-4.0000001303851604,-0.875,-4.124999783933163,-1.0,3.1249999571591616,-0.12499982677400112,-3.46451997756958e-07
a06_s2_neutral_angry,6,2,neutral,angry,-5.0000001303851604,4.499999523162842,-5.687500027939677,5.75,10.46874984074384,0.2812502896413207,1.937500374391675
a06_s2_happy_sad,6,2,happy,sad,4.437499821186066,1.625,1.875,1.4999998807907104,-1.5937499701976776,-1.3437499701976776,2.437499701976776
a06_s2_happy_angry,6,2,happy,angry,1.687499761581421,3.0625,0.2499997615814209,4.1875,2.656250238418579,-0.15625,2.5625
a06_s2_sad_angry,6,2,sad,angry,-1.3749998807907104,0.0,-1.125,1.75,2.1249999403953552,0.9999999403953552,1.5000001192092896
a07_s1_neutral_happy,7,1,neutral,happy,4.250000108033419,-0.875,4.500000044703484,-1.8750001192092896,-5.750000135973096,-0.3750000912696123,-1.2500000558793545
a07_s1_neutral_sad,7,1,neutral,sad,0.75,1.25,0.25,1.0,0.625,-0.375,0.25
a07_s1_neutral_angry,7,1,neutral,angry,0.25,3.1875,-0.375,3.375,3.34375,-0.21875,0.8125
a07_s1_happy_sad,7,1,happy,sad,2.5000001192092896,0.0,2.8749998807907104,-1.25,-3.3125,-0.43750011920928955,-1.624999761581421
a07_s1_happy_angry,7,1,happy,angry,2.2500001192092896,4.4375001192092896,2.25,4.5625,2.25,0.06249988079071045,0.125
a07_s1_sad_angry,7,1,sad,angry,2.125,3.875000238418579,1.3749999403953552,3.375,1.875000149011612,-0.6250001490116119,0.24999982118606567
a07_s2_neutral_happy,7,2,neutral,happy,4.999999977648258,0.0,4.375000029802322,0.1250002384185791,-4.624999884516001,-0.24999985471367836,0.7500001862645149
