pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a01_s1_happy_sad,1,1,happy,sad,0,2.0703125,2.0703125,2.0703125,2.0703125,0.0,0.0,0.0
a01_s1_happy_sad,1,1,happy,sad,1,-0.638671875,-0.60205078125,-0.5576171875,-0.4979248046875,0.04815673828125,0.09259033203125,0.0230712890625
a01_s1_happy_sad,1,1,happy,sad,2,-1.26171875,-1.3828125,-1.296875,-1.40234375,-0.11328125,-0.02734375,0.015625
a01_s1_happy_sad,1,1,happy,sad,3,-1.48828125,-1.53515625,-1.52734375,-1.50390625,-0.01171875,-0.00390625,0.0703125
a01_s1_happy_sad,1,1,happy,sad,4,-1.75,-1.671875,-1.890625,-1.75,0.109375,-0.109375,0.0625
a01_s1_happy_sad,1,1,happy,sad,5,-1.71875,-1.46875,-1.75,-1.5625,0.21875,-0.0625,-0.0625
a01_s1_happy_sad,1,1,happy,sad,6,-1.390625,-1.546875,-1.3125,-1.546875,-0.1953125,0.0390625,-0.078125
a01_s1_happy_sad,1,1,happy,sad,7,-0.71875,-0.84375,-0.671875,-0.859375,-0.15625,0.015625,-0.0625
a01_s1_happy_sad,1,1,happy,sad,8,-0.271484375,-0.9384765625,-0.2900390625,-0.90234375,-0.6396484375,0.0087890625,0.0546875
a01_s1_happy_sad,1,1,happy,sad,9,1.4443359375,1.8828125,1.458251953125,1.9609375,0.4705810546875,0.0460205078125,0.064208984375
a01_s1_happy_sad,1,1,happy,sad,10,-2.2109384536743164,-1.60546875,-2.3378915786743164,-1.46875,0.7373056411743164,0.0048828125,0.263671875
a01_s1_happy_sad,1,1,happy,sad,11,-1.63671875,-0.72265625,-1.818359375,-0.8515625,0.9404296875,-0.1552734375,0.052734375
a01_s1_happy_sad,1,1,happy,sad,12,-1.2069091796875,-0.607666015625,-1.37255859375,-0.62109375,0.67535400390625,-0.08953857421875,0.1522216796875
