dataset,conflict,generator,metric,mean,ci_low,ci_high,n
EMIS,False,COSY,acoustic_correct,1.0,1.0,1.0,16
EMIS,False,COSY,semantic_follow,1.0,1.0,1.0,16
EMIS,False,COSY,other,0.0,0.0,0.0,16
EMIS,False,COSY,acoustic_margin,0.0,0.0,0.0,16
EMIS,False,COSY,seconds,0.08401140570640564,0.08221358060836792,0.0850675106048584,16
EMIS,False,F5TTS,acoustic_correct,1.0,1.0,1.0,16
EMIS,False,F5TTS,semantic_follow,1.0,1.0,1.0,16
EMIS,False,F5TTS,other,0.0,0.0,0.0,16
EMIS,False,F5TTS,acoustic_margin,0.0,0.0,0.0,16
EMIS,False,F5TTS,seconds,0.08756488561630249,0.08201906085014343,0.09311071038246155,16
EMIS,False,STYLE,acoustic_correct,1.0,1.0,1.0,16
EMIS,False,STYLE,semantic_follow,1.0,1.0,1.0,16
EMIS,False,STYLE,other,0.0,0.0,0.0,16
EMIS,False,STYLE,acoustic_margin,0.0,0.0,0.0,16
EMIS,False,STYLE,seconds,0.0907457023859024,0.08429396152496338,0.09719744324684143,16
EMIS,True,COSY,acoustic_correct,0.020833333333333332,0.0,0.045454545454545456,48
EMIS,True,COSY,semantic_follow,0.9583333333333334,0.9090909090909091,1.0,48
EMIS,True,COSY,other,0.020833333333333332,0.0,0.045454545454545456,48
EMIS,True,COSY,acoustic_margin,-5.157552090196987,-5.263020828696123,-4.760416716181983,48
EMIS,True,COSY,seconds,0.08227704962094624,0.07768563429514568,0.08374703923861186,48
EMIS,True,F5TTS,acoustic_correct,0.020833333333333332,0.0,0.16666666666666666,48
EMIS,True,F5TTS,semantic_follow,0.9375,0.8333333333333334,1.0,48
EMIS,True,F5TTS,other,0.041666666666666664,0.0,0.09090909090909091,48
EMIS,True,F5TTS,acoustic_margin,-5.45442708083768,-5.935606077712057,-4.333333253220189,48
EMIS,True,F5TTS,seconds,0.0841240535179774,0.0832256656704527,0.08723858992258708,48
EMIS,True,STYLE,acoustic_correct,0.0,0.0,0.0,48
EMIS,True,STYLE,semantic_follow,0.9583333333333334,0.9523809523809523,1.0,48
EMIS,True,STYLE,other,0.041666666666666664,0.0,0.047619047619047616,48
EMIS,True,STYLE,acoustic_margin,-5.2304687074502,-5.569940429336081,-2.8541666542490325,48
EMIS,True,STYLE,seconds,0.08626870314280193,0.0847817858060201,0.09105734030405681,48
RAVDESS,False,human,acoustic_correct,1.0,1.0,1.0,48
RAVDESS,False,human,semantic_follow,1.0,1.0,1.0,48
RAVDESS,False,human,other,0.0,0.0,0.0,48
RAVDESS,False,human,acoustic_margin,0.0,0.0,0.0,48
RAVDESS,False,human,seconds,0.10046301285425822,0.09235497924188772,0.10902345851063729,48
RAVDESS,True,human,acoustic_correct,0.5763888888888888,0.5069444444444444,0.6527777777777778,144
RAVDESS,True,human,semantic_follow,0.4027777777777778,0.3263888888888889,0.4722222222222222,144
RAVDESS,True,human,other,0.020833333333333332,0.0,0.041666666666666664,144
RAVDESS,True,human,acoustic_margin,0.32986112912153154,-0.16970485119034293,0.8915039328470203,144
RAVDESS,True,human,seconds,0.10631770226690504,0.09890625832809342,0.11590863611135216,144
EMIS,False,ALL,acoustic_correct,1.0,1.0,1.0,48
EMIS,False,ALL,semantic_follow,1.0,1.0,1.0,48
EMIS,False,ALL,other,0.0,0.0,0.0,48
EMIS,False,ALL,acoustic_margin,0.0,0.0,0.0,48
EMIS,False,ALL,seconds,0.08744066456953685,0.08427714047332605,0.09084592759609222,48
EMIS,True,ALL,acoustic_correct,0.013888888888888888,0.0,0.03968253968253968,144
EMIS,True,ALL,semantic_follow,0.9513888888888888,0.9197530864197531,0.9814814814814815,144
EMIS,True,ALL,other,0.034722222222222224,0.009259259259259259,0.05555555555555555,144
EMIS,True,ALL,acoustic_margin,-5.280815959494955,-5.546881214339379,-4.873836781117715,144
EMIS,True,ALL,seconds,0.08422326876057519,0.08297157187073949,0.08561375215649604,144
RAVDESS,False,ALL,acoustic_correct,1.0,1.0,1.0,48
RAVDESS,False,ALL,semantic_follow,1.0,1.0,1.0,48
RAVDESS,False,ALL,other,0.0,0.0,0.0,48
RAVDESS,False,ALL,acoustic_margin,0.0,0.0,0.0,48
RAVDESS,False,ALL,seconds,0.10046301285425822,0.09235497924188772,0.10902345851063729,48
RAVDESS,True,ALL,acoustic_correct,0.5763888888888888,0.5069444444444444,0.6527777777777778,144
RAVDESS,True,ALL,semantic_follow,0.4027777777777778,0.3263888888888889,0.4722222222222222,144
RAVDESS,True,ALL,other,0.020833333333333332,0.0,0.041666666666666664,144
RAVDESS,True,ALL,acoustic_margin,0.32986112912153154,-0.16970485119034293,0.8915039328470203,144
RAVDESS,True,ALL,seconds,0.10631770226690504,0.09890625832809342,0.11590863611135216,144
