method,seed,subset,n,acoustic_accuracy,semantic_follow,mean_acoustic_margin
base,base,ravdess_test,32,0.65625,0.59375,-0.1679687348078005
decision_adapter_layer25,20260903,ravdess_test,32,0.90625,0.21875,6.5214843450927376
decision_adapter_layer25,20260904,ravdess_test,32,0.875,0.375,5.058593684786835
decision_adapter_layer25,20260905,ravdess_test,32,0.75,0.46875,1.4863281275202098
base,base,emis_all,192,0.2604166666666667,0.9635416666666666,-3.9606119696212168
decision_adapter_layer25,20260903,emis_all,192,0.2708333333333333,0.90625,-7.027994773525248
decision_adapter_layer25,20260904,emis_all,192,0.2916666666666667,0.9322916666666666,-6.680338530933343
decision_adapter_layer25,20260905,emis_all,192,0.2708333333333333,0.953125,-5.846679645602573
base,base,emis_aligned,48,1.0,1.0,0.0
decision_adapter_layer25,20260903,emis_aligned,48,0.9375,0.9375,0.0
decision_adapter_layer25,20260904,emis_aligned,48,1.0,1.0,0.0
decision_adapter_layer25,20260905,emis_aligned,48,1.0,1.0,0.0
base,base,emis_conflict,144,0.013888888888888888,0.9513888888888888,-5.280815959494955
decision_adapter_layer25,20260903,emis_conflict,144,0.04861111111111111,0.8958333333333334,-9.370659698033664
decision_adapter_layer25,20260904,emis_conflict,144,0.05555555555555555,0.9097222222222222,-8.907118041244457
decision_adapter_layer25,20260905,emis_conflict,144,0.027777777777777776,0.9375,-7.79557286080343
