seed,subset,delta_accuracy,delta_accuracy_ci_low,delta_accuracy_ci_high,delta_margin,delta_margin_ci_low,delta_margin_ci_high,mcnemar_exact_p,improved,harmed
20260903,ravdess_test,0.25,0.15625,0.34375,6.689453079900538,5.517578112365889,7.589843732739766,0.03857421875,10,2
20260904,ravdess_test,0.21875,0.0625,0.34375,5.226562419594636,4.144531174873691,6.261718638577527,0.015625,7,0
20260905,ravdess_test,0.09375,0.0,0.1875,1.6542968623280103,1.3496093726353138,2.0156249816218406,0.25,3,0
20260903,emis_all,0.010416666666666666,-0.010416666666666666,0.034482758620689655,-3.067382803904032,-3.7754155055023335,-1.8242074175167826,0.7265625,5,3
20260904,emis_all,0.03125,0.013157894736842105,0.057692307692307696,-2.7197265613121266,-3.2807482033202002,-1.7386548933491328,0.03125,6,0
20260905,emis_all,0.010416666666666666,0.0,0.03205128205128205,-1.8860676759813562,-2.2177527489110007,-1.3075181049064892,0.5,2,0
20260903,emis_aligned,-0.0625,-0.125,0.0,0.0,0.0,0.0,0.25,0,3
20260904,emis_aligned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
20260905,emis_aligned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
20260903,emis_conflict,0.034722222222222224,0.011111111111111112,0.07777777777777778,-4.089843738538709,-4.681251924886525,-2.7971180401924,0.0625,5,0
20260904,emis_conflict,0.041666666666666664,0.016666666666666666,0.08333333333333333,-3.626302081749502,-4.0603167360843475,-2.665937503135337,0.03125,6,0
20260905,emis_conflict,0.013888888888888888,0.0,0.046296296296296294,-2.514756901308475,-2.7527777133361035,-2.005538164506547,0.5,2,0
