method,condition,runs,accuracy_mean,accuracy_std,clean_delta_mean,semantic_follow_mean,margin_mean
baseline,clean,1,0.4375,0.0,0.0,0.34375,0.8808593587018549
baseline,combined_rir_noise_g711,1,0.375,0.0,-0.0625,0.375,-0.03906248649582267
baseline,g711_mulaw_8khz,1,0.5,0.0,0.0625,0.34375,1.0996093803551048
baseline,real_noise_10db,1,0.5625,0.0,0.125,0.375,0.8398437321884558
baseline,real_office_rir,1,0.28125,0.0,-0.15625,0.25,0.26562499441206455
baseline,rir_plus_noise,1,0.3125,0.0,-0.125,0.28125,0.16992187732830644
decision_adapter_layer25,clean,3,0.9166666666666666,0.018042195912175808,0.0,0.3125,3.382812477851985
decision_adapter_layer25,combined_rir_noise_g711,3,0.8020833333333334,0.018042195912175808,-0.11458333333333326,0.3229166666666667,2.152343749786572
decision_adapter_layer25,g711_mulaw_8khz,3,0.875,0.03125,-0.04166666666666663,0.3125,3.1373697950912174
decision_adapter_layer25,real_noise_10db,3,0.875,0.0625,-0.04166666666666663,0.34375,3.0527343918850725
decision_adapter_layer25,real_office_rir,3,0.8645833333333334,0.07864410870073699,-0.05208333333333326,0.25,2.9921875041909516
decision_adapter_layer25,rir_plus_noise,3,0.8541666666666666,0.047735163489123336,-0.0625,0.28125,2.871744810981909
full_sequence_adapter_layer22,clean,3,0.875,0.05412658773652741,0.0,0.2916666666666667,3.1614583359429766
full_sequence_adapter_layer22,combined_rir_noise_g711,3,0.71875,0.08267972847076846,-0.15625,0.34375,1.641927071090322
full_sequence_adapter_layer22,g711_mulaw_8khz,3,0.8333333333333334,0.06505206248331666,-0.04166666666666663,0.3333333333333333,2.802734390978003
full_sequence_adapter_layer22,real_noise_10db,3,0.8125,0.0625,-0.0625,0.3541666666666667,2.569661444344092
full_sequence_adapter_layer22,real_office_rir,3,0.8125,0.0625,-0.0625,0.2604166666666667,2.701171876164153
full_sequence_adapter_layer22,rir_plus_noise,3,0.8229166666666666,0.018042195912175808,-0.05208333333333337,0.3125,2.283854191288507
ordinary_lora_layer22,clean,3,0.9270833333333334,0.03608439182435161,0.0,0.2916666666666667,5.415364582186072
ordinary_lora_layer22,combined_rir_noise_g711,3,0.8333333333333334,0.03608439182435161,-0.09375,0.3020833333333333,2.9199218625726644
ordinary_lora_layer22,g711_mulaw_8khz,3,0.9270833333333334,0.03608439182435161,0.0,0.3020833333333333,5.089192694777665
ordinary_lora_layer22,real_noise_10db,3,0.8958333333333334,0.018042195912175808,-0.03125,0.3229166666666667,4.4921875021768
ordinary_lora_layer22,real_office_rir,3,0.875,0.05412658773652741,-0.05208333333333337,0.20833333333333334,4.680989609216908
ordinary_lora_layer22,rir_plus_noise,3,0.84375,0.05412658773652741,-0.08333333333333337,0.28125,3.82356770082968
