mode,label,n,accuracy,coverage
full,angry,24,0.2916666666666667,0.375
full,happy,24,0.041666666666666664,0.5833333333333334
full,neutral,24,0.7083333333333334,0.9583333333333334
full,sad,24,0.8333333333333334,0.9166666666666666
no_continuous,angry,24,0.2916666666666667,1.0
no_continuous,happy,24,0.20833333333333334,0.9583333333333334
no_continuous,neutral,24,0.125,1.0
no_continuous,sad,24,0.9166666666666666,1.0
no_discrete,angry,24,0.125,0.16666666666666666
no_discrete,happy,24,0.041666666666666664,0.5416666666666666
no_discrete,neutral,24,0.625,0.8333333333333334
no_discrete,sad,24,0.7916666666666666,0.8333333333333334
rolled_continuous,angry,24,0.875,1.0
rolled_continuous,happy,24,0.08333333333333333,0.9583333333333334
rolled_continuous,neutral,24,0.8333333333333334,1.0
rolled_continuous,sad,24,0.875,1.0
