method,snr_db,n,ser,aligned_ser,conflict_acoustic_follow,conflict_semantic_follow,conflict_margin
baseline,clean,192,0.4114583333333333,0.4375,0.3854166666666667,0.19791666666666666,0.900390625
baseline,20,192,0.4166666666666667,0.40625,0.4270833333333333,0.17708333333333334,1.0930989583333333
baseline,10,192,0.5833333333333334,0.59375,0.5729166666666666,0.11458333333333333,1.3313802083333333
decision_adapter_layer25,clean,192,0.90625,0.9375,0.875,0.03125,4.138671875
decision_adapter_layer25,20,192,0.859375,0.875,0.84375,0.07291666666666667,3.330078125
decision_adapter_layer25,10,192,0.8177083333333334,0.8125,0.8229166666666666,0.0625,3.0709635416666665
full_sequence_adapter_layer22,clean,192,0.9166666666666666,0.90625,0.9270833333333334,0.03125,4.09765625
full_sequence_adapter_layer22,20,192,0.859375,0.875,0.84375,0.0625,3.46484375
full_sequence_adapter_layer22,10,192,0.828125,0.84375,0.8125,0.07291666666666667,3.2552083333333335
ordinary_lora_layer22,clean,192,0.8802083333333334,0.90625,0.8541666666666666,0.03125,6.18359375
ordinary_lora_layer22,20,192,0.8802083333333334,0.90625,0.8541666666666666,0.052083333333333336,4.634114583333333
ordinary_lora_layer22,10,192,0.8697916666666666,0.875,0.8645833333333334,0.052083333333333336,4.118489583333333
