pair_id,speaker,word,label_a,label_b,file_a,file_b,AA,AB,BA,BB,ME_C,ME_D,interaction
OAF_back_neutral_happy,OAF,back,neutral,happy,OAF_back_neutral.wav,OAF_back_happy.wav,-0.6875,0.375,-0.3750002384185791,-0.25,0.5937501192092896,-0.15625011920928955,-0.9374997615814209
OAF_back_neutral_sad,OAF,back,neutral,sad,OAF_back_neutral.wav,OAF_back_sad.wav,-1.1875,-1.0,-1.75,-0.6875,0.625,-0.125,0.875
OAF_back_neutral_angry,OAF,back,neutral,angry,OAF_back_neutral.wav,OAF_back_angry.wav,-1.875,-1.6875,-1.6875,-2.187499761581421,-0.15624988079071045,-0.15624988079071045,-0.6874997615814209
OAF_back_happy_sad,OAF,back,happy,sad,OAF_back_happy.wav,OAF_back_sad.wav,-0.7499997615814209,-0.375,-0.375,-0.5625,0.09374988079071045,0.09374988079071045,-0.5624997615814209
OAF_back_happy_angry,OAF,back,happy,angry,OAF_back_happy.wav,OAF_back_angry.wav,-1.249999761581421,-1.437499761581421,-1.3125,-1.999999761581421,-0.43749988079071045,-0.31250011920928955,-0.4999997615814209
OAF_back_sad_angry,OAF,back,sad,angry,OAF_back_sad.wav,OAF_back_angry.wav,-0.5,-1.3125,0.0625,-0.8125,-0.84375,0.53125,-0.0625
OAF_bar_neutral_happy,OAF,bar,neutral,happy,OAF_bar_neutral.wav,OAF_bar_happy.wav,0.625,1.125,1.5625,1.0,-0.03125,0.40625,-1.0625
OAF_bar_neutral_sad,OAF,bar,neutral,sad,OAF_bar_neutral.wav,OAF_bar_sad.wav,-1.5625,-1.6875,-1.5,-1.6875,-0.15625,0.03125,-0.0625
OAF_bar_neutral_angry,OAF,bar,neutral,angry,OAF_bar_neutral.wav,OAF_bar_angry.wav,-2.4375,-2.375,-1.75,-2.875,-0.53125,0.09375,-1.1875
OAF_bar_happy_sad,OAF,bar,happy,sad,OAF_bar_happy.wav,OAF_bar_sad.wav,-2.0,-1.937499761581421,-1.75,-1.6875,0.06250011920928955,0.24999988079071045,-2.384185791015625e-07
OAF_bar_happy_angry,OAF,bar,happy,angry,OAF_bar_happy.wav,OAF_bar_angry.wav,-3.625,-2.937499761581421,-3.59375,-3.375,0.45312511920928955,-0.20312511920928955,-0.4687502384185791
OAF_bar_sad_angry,OAF,bar,sad,angry,OAF_bar_sad.wav,OAF_bar_angry.wav,-0.875,-1.78125,-0.8125,-1.625,-0.859375,0.109375,0.09375
OAF_base_neutral_happy,OAF,base,neutral,happy,OAF_base_neutral.wav,OAF_base_happy.wav,0.4375,0.375,0.3125,0.25,-0.0625,-0.125,0.0
OAF_base_neutral_sad,OAF,base,neutral,sad,OAF_base_neutral.wav,OAF_base_sad.wav,-0.5625,-0.625,-1.21875,-0.375,0.390625,-0.203125,0.90625
OAF_base_neutral_angry,OAF,base,neutral,angry,OAF_base_neutral.wav,OAF_base_angry.wav,-2.093750476837158,-2.875000238418579,-2.3125,-2.125,-0.29687488079071045,0.26562535762786865,0.9687497615814209
OAF_base_happy_sad,OAF,base,happy,sad,OAF_base_happy.wav,OAF_base_sad.wav,-1.9375,-0.9375,-3.3125,-1.4375,1.4375,-0.9375,0.875
OAF_base_happy_angry,OAF,base,happy,angry,OAF_base_happy.wav,OAF_base_angry.wav,-3.5,-2.625000238418579,-3.125,-2.25,0.8749998807907104,0.37500011920928955,2.384185791015625e-07
OAF_base_sad_angry,OAF,base,sad,angry,OAF_base_sad.wav,OAF_base_angry.wav,-0.8125,-1.625,-0.875,-1.125,-0.53125,0.21875,0.5625
OAF_bath_neutral_happy,OAF,bath,neutral,happy,OAF_bath_neutral.wav,OAF_bath_happy.wav,1.8125,1.5625,1.375,1.625,0.0,-0.1875,0.5
OAF_bath_neutral_sad,OAF,bath,neutral,sad,OAF_bath_neutral.wav,OAF_bath_sad.wav,-0.375,-1.0625,-0.4375,-0.5,-0.375,0.25,0.625
OAF_bath_neutral_angry,OAF,bath,neutral,angry,OAF_bath_neutral.wav,OAF_bath_angry.wav,-1.375,-1.75,-1.562500238418579,-1.6875,-0.24999988079071045,-0.06250011920928955,0.2500002384185791
OAF_bath_happy_sad,OAF,bath,happy,sad,OAF_bath_happy.wav,OAF_bath_sad.wav,-2.1875,-2.125,-2.625,-3.0625,-0.1875,-0.6875,-0.5
OAF_bath_happy_angry,OAF,bath,happy,angry,OAF_bath_happy.wav,OAF_bath_angry.wav,-3.125,-3.125,-4.46875,-4.000000238418579,0.23437488079071045,-1.1093751192092896,0.4687497615814209
